section,cognizable,bailable,court,unambiguous,raw_cognizable,raw_bailable,raw_court,offence
209,,,,no,C o g n i z able. C o g n i z able. Non- cognizable. N on- cognizable. Non- cogn,Non-bailable. Non-bailable. Bailable. Bailable. Bailable. Bailable. Bailable. Ba,Magistrate of the first class. Magistrate of the first class. The Court in which,Non-appearance in response to a proclamation under section 84 of this Sanhita. In a case where declaration has been made
213,Non-cognizable,Bailable,,yes,Non- cognizable.,"Bailable. The the committed, to Chapter or, committed, Court, Magistrate.",Court in which offence is subject the provisions of XXVIII; if not in a any,Refusing oath when duly required to take oath by a public servant.
214,Non-cognizable,Bailable,,yes,Non- cognizable.,"Bailable. The the committed, to Chapter or, committed, Court, Magistrate.",Court in which offence is subject the provisions of XXVIII; if not in a any,"Being legally bound to state truth, and refusing to answer public servant authorised to question."
215,Non-cognizable,Bailable,,yes,Non- cognizable.,"Bailable. The the committed, to Chapter or, committed, Court, Magistrate.",Court in which offence is subject the provisions of XXVIII; if not in a any,Refusing to sign a statement made to a public servant when legally required to do so.
216,Non-cognizable,Bailable,,yes,N o n - cognizable.,Bailable. Magistrate first,of the class.,Knowingly stating to a public servant on oath as true that which is false.
217,Non-cognizable,Bailable,,yes,N o n - cognizable.,Bailable. Any,Magistrate.,Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of
218,Non-cognizable,Bailable,,yes,N o n - cognizable.,Bailable. Any,Magistrate.,Resistance to the taking of property by the lawful authority of a public servant.
219,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Obstructing sale of property offered for sale by authority of a public servant.
220,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Illegal purchase or bid for property offered for sale by authority of public servant.
221,,Bailable,Any Magistrate,no,N on- cognizable. Non- cognizable. Non- cognizable. Cognizable. C o g nizable.,Bailable. Bailable. Bailable. Bailable. Bailable.,Any Magistrate. Any Magistrate. Any Magistrate. Any Magistrate. Any Magistrate.,Obstructing public servant in discharge of his public functions. Omission to assist public servant when bound by law to 
224,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,"Threat of injury to public servant, etc."
225,Non-cognizable,Bailable,Any Magistrate,yes,N o n - cognizable.,Bailable.,Any Magistrate.,Threat of injury to induce person to refrain from applying for protection to public servant.
226,Non-cognizable,Bailable,Any Magistrate,yes,N o n- cognizable.,Bailable.,Any Magistrate.,Attempt to commit suicide to compel or restraint exercise of lawful power.
229,Non-cognizable,Bailable,Magistrate of the first class,yes,N o n - cognizable.,Bailable.,Magistrate of the first class.,Intentionally giving or fabricating false evidence in a judicial proceeding.
230,Non-cognizable,Non-bailable,Court of Session,yes,Non- cognizable.,Non-bailable.,Court of Session.,Giving or fabricating false evidence with intent to cause any person to be convicted of capital offence.
231,Non-cognizable,Non-bailable,Court of Session,yes,Non- cognizable.,Non-bailable.,Court of Session.,Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for li
232,Cognizable,Non-bailable,,yes,C o g n izable.,Non-bailable.,Court by which offence of giving false evidence is triable.,Threatening any person to give false evidence.
233,Non-cognizable,Bailable,,yes,Non- cognizable.,According as offence of giving such evidence is bailable or non-triable. bailabl,Court by which offence of giving or fabricating false evidence is,Using in a judicial proceeding evidence known to be false or fabricated.
234,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Court by which offence of giving false evidence is triable.,Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in 
235,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Court by which offence of giving false evidence is triable.,Using as a true certificate one known to be false in a material point.
236,Non-cognizable,Bailable,,yes,Non- cognizable.,Bailable.,Court by which offence of giving false evidence is triable.,False statement made in any declaration which is by law receivable as evidence.
237,Non-cognizable,Bailable,,yes,Non- cognizable. A c c o r ding as the offence in relation to which disappearanc,Bailable. Bailable. Bailable. Bailable.,Court by which offence of giving false evidence is triable. Court of Session. Ma,"Using as true any such declaration known to be false. Causing disappearance of evidence of an offence committed, or givi"
239,Non-cognizable,Bailable,Any Magistrate,yes,N on- cognizable.,Bailable.,Any Magistrate.,Intentional omission to give information of an offence by a person legally bound to inform.
